,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
73,GMLI,"1,794.20",-0.27,"1,820.00","1,856.40","1,790.00","2,368","1,799.00",-4.8
74,GRDBL,"1,150.00",1.23,"1,130.00","1,162.60","1,115.00","12,575","1,136.00",14
75,GSY,9.06,0.67,8.85,9.07,8.74,"44,450",9.00,0.06
76,GUFL,501.00,-1.01,501.10,510.00,501.00,"3,356",506.10,-5.1
77,GVL,524.00,0.67,520.00,534.20,520.00,"39,945",520.50,3.5
78,H8020,10.65,-0.75,10.65,10.65,10.60,"2,945",10.73,-0.08
79,HATHY,910.00,-0.55,915.00,919.00,910.00,"5,012",915.00,-5
80,HBL,186.80,-0.48,186.30,188.00,186.00,"49,847",187.70,-0.9
81,HBLD86,"1,177.00",0,"1,177.00","1,177.00","1,177.00",15,"1,177.00",0
82,HDHPC,178.50,-0.56,178.60,186.00,177.50,"73,345",179.50,-1
83,HDL,"1,150.00",-0.17,"1,175.00","1,175.00","1,150.00","37,576","1,152.00",-2
84,HEI,497.00,-0.18,490.00,504.80,490.00,"9,146",497.90,-0.9
85,HHL,335.00,-0.3,342.70,342.70,330.40,"14,218",336.00,-1
86,HIDCL,266.50,-0.07,267.00,270.00,265.00,"61,726",266.70,-0.2
87,HIDCLP,182.10,-0.22,180.40,184.30,180.40,"69,856",182.50,-0.4
88,HIMSTAR,"1,030.00",1.98,989.80,"1,071.00",940.40,"71,075","1,010.00",20
89,HLBSL,918.00,0.55,900.00,918.00,900.00,"3,208",913.00,5
90,HLI,376.00,-0.21,375.50,378.80,375.10,"21,791",376.80,-0.8
91,HLICF,8.91,-1.22,8.94,9.02,8.85,"2,700",9.02,-0.11
92,HPPL,468.00,-0.49,475.00,475.00,466.00,"45,962",470.30,-2.3
93,HRL,826.00,0.36,816.30,837.00,816.30,"69,824",823.00,3
94,HURJA,222.00,-0.89,227.90,227.90,220.20,"19,145",224.00,-2
95,ICFC,630.00,0,630.00,633.00,620.00,"14,428",630.00,0
96,ICFCD83,"1,171.00",-0.76,"1,180.00","1,180.00","1,171.00",90,"1,180.00",-9
97,ICFCD88,"1,160.00",-0.24,"1,160.00","1,160.00","1,160.00",100,"1,162.80",-2.8
98,IGI,421.80,1.32,414.00,422.80,412.10,"15,545",416.30,5.5
99,IHL,574.60,9.03,521.00,579.50,521.00,"53,163",527.00,47.6
100,ILBS,"1,055.00",-1.4,"1,050.60","1,071.00","1,046.00","7,261","1,070.00",-15
101,ILBSP,624.00,0.65,620.00,624.00,620.00,"36,000",620.00,4
102,ILI,460.00,0.86,460.00,460.90,452.10,"28,740",456.10,3.9
103,JBBD87,"1,195.00",3.46,"1,270.50","1,270.50","1,195.00",20,"1,155.00",40
104,JBBL,320.40,0.12,313.60,323.90,313.60,"29,905",320.00,0.4
105,JBLB,"1,497.00",1.15,"1,470.00","1,500.00","1,470.00","8,648","1,480.00",17
106,JFL,421.00,-0.5,429.00,429.00,416.20,"14,382",423.10,-2.1
107,JHAPA,"1,298.90",9.99,"1,204.50","1,298.90","1,113.00","70,662","1,180.90",118
108,JOSHI,309.90,-0.26,310.70,314.90,307.00,"72,177",310.70,-0.8
109,JSLBB,"1,199.90",1.69,"1,202.50","1,202.50","1,155.00",729,"1,180.00",19.9
110,KBL,179.00,-0.67,178.60,181.70,178.30,"71,849",180.20,-1.2
