,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
321,UNL,"47,000.00",1.08,"47,420.00","47,420.00","47,000.00",27,"46,500.00",500
322,UNLB,"1,968.00",0.15,"1,925.70","1,968.00","1,900.00",323,"1,965.00",3
323,UPCL,374.40,2.02,374.30,375.00,361.10,"192,615",367.00,7.4
324,UPPER,174.70,-0.51,175.00,176.70,174.50,"74,595",175.60,-0.9
325,USHEC,466.00,0.52,463.00,470.00,460.00,"23,588",463.60,2.4
326,USHL,774.60,10,690.20,774.60,690.20,"49,432",704.20,70.4
327,USLB,"1,540.00",-3.08,"1,600.00","1,600.00","1,540.00","10,421","1,589.00",-49
328,VLBS,770.10,-1.16,779.00,789.90,765.10,"1,227",779.10,-9
329,VLUCL,564.00,0.71,549.10,573.00,549.00,"13,484",560.00,4
330,WNLB,"1,946.00",-0.46,"1,931.00","1,959.00","1,930.40",662,"1,955.00",-9
